Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
1,2560,Venruki,Mage,Faerlina,253 - 74,77%
1,2560,Centylol,Paladin,Faerlina,267 - 164,62%
3,2556,Tempt,Priest,Faerlina,174 - 80,69%
4,2551,Smookymarg,Warrior,Benediction,248 - 83,75%
4,2551,Dekel,Warrior,Faerlina,127 - 43,75%
6,2549,Daddypleas,Paladin,Faerlina,128 - 27,83%
7,2548,Beckinsalex,Warlock,Faerlina,148 - 25,86%
7,2548,Darìus,DeathKnight,Faerlina,141 - 52,73%
9,2547,Poonx,Warlock,Benediction,280 - 89,76%
10,2546,Willertonss,Shaman,Faerlina,124 - 53,70%
11,2544,Thismomma,Paladin,Benediction,332 - 91,78%
11,2544,Donkeydoodoo,Shaman,Benediction,370 - 114,76%
11,2544,Nick,DeathKnight,Benediction,283 - 113,71%
11,2544,Vices,Warrior,Benediction,295 - 121,71%
11,2544,Flowstatesp,Paladin,Benediction,157 - 68,70%
16,2543,Poonx,Warlock,Faerlina,301 - 61,83%
17,2542,Bcw,Warrior,Faerlina,174 - 51,77%
17,2542,Jozushka,Priest,Benediction,215 - 75,74%
19,2541,Ozzyxy,Priest,Faerlina,127 - 26,83%
19,2541,Novoz,Shaman,Faerlina,156 - 46,77%
21,2540,Zykko,Priest,Faerlina,174 - 43,80%
22,2538,Alfredborden,Priest,Benediction,175 - 58,75%
23,2537,Flowstatesp,Paladin,Faerlina,166 - 41,80%
24,2533,Çâñtstøpmê,Shaman,Benediction,216 - 71,75%
25,2526,Koralium,Shaman,Benediction,253 - 103,71%
25,2526,Sethwotlk,Paladin,Benediction,238 - 103,70%
25,2526,Allahukabar,Warlock,Benediction,297 - 133,69%
28,2521,Señorvac,Priest,Benediction,173 - 80,68%
29,2519,Ozzy,Shaman,Faerlina,228 - 44,84%
29,2519,Ntw,Warrior,Benediction,153 - 64,71%
31,2518,Xldmg,Warlock,Benediction,258 - 115,69%
31,2518,Tankermadge,Warrior,Benediction,245 - 113,68%
31,2518,Shanerx,Shaman,Benediction,265 - 131,67%
31,2518,Gorillaa,Paladin,Benediction,284 - 142,67%
31,2518,Losx,Priest,Benediction,261 - 153,63%
36,2436,Göthdaddy,Priest,Benediction,200 - 73,73%
37,2405,Bcr,Warrior,Faerlina,164 - 52,76%
38,2399,Yukoko,Paladin,Faerlina,139 - 47,75%
39,2376,Chanw,Warlock,Faerlina,124 - 29,81%
40,2360,Moomootox,Shaman,Faerlina,109 - 42,72%
