Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
1,2708,Shéésh,Shaman,Firemaw,183 - 13,93%
2,2703,Wâllirikz,Warlock,Firemaw,176 - 20,90%
3,2700,Swapxy,Shaman,Gehennas,129 - 12,91%
3,2700,Lazerchîcken,Druid,Gehennas,174 - 54,76%
5,2689,Nâzrins,Warlock,Gehennas,131 - 23,85%
6,2685,Blizo,Warrior,Firemaw,139 - 16,90%
7,2684,Earlickasmr,Paladin,Firemaw,126 - 10,93%
8,2677,Nieze,Priest,Firemaw,123 - 19,87%
9,2662,Numlizyo,Priest,Gehennas,151 - 43,78%
10,2653,Blizo,Warrior,Gehennas,163 - 18,90%
10,2653,Wallirik,Warlock,Gehennas,187 - 26,88%
10,2653,Ÿy,Paladin,Gehennas,202 - 43,82%
13,2652,Enhai,Priest,Venoxis,308 - 125,71%
13,2652,Chipz,Mage,Venoxis,308 - 125,71%
13,2652,Iovely,Paladin,Venoxis,308 - 125,71%
13,2652,Dreschnuu,Warlock,Venoxis,308 - 125,71%
13,2652,Mds,Shaman,Venoxis,308 - 125,71%
18,2651,Nieze,Priest,Gehennas,149 - 18,89%
18,2651,Nowreez,Paladin,Venoxis,163 - 46,78%
20,2650,Tprshear,Shaman,Venoxis,147 - 42,78%
20,2650,Keijuña,Priest,Firemaw,156 - 50,76%
22,2645,Btrxd,Paladin,Gehennas,92 - 24,79%
22,2645,Toboyee,Hunter,Venoxis,147 - 59,71%
24,2641,Roo,Warlock,Firemaw,115 - 55,68%
25,2639,Bâkka,Shaman,Gehennas,127 - 9,93%
25,2639,Wingbal,Warlock,Firemaw,133 - 35,79%
25,2639,Shezzé,Shaman,Firemaw,195 - 110,64%
25,2639,Górdonramsay,Warrior,Firemaw,210 - 139,60%
25,2639,Peurá,Paladin,Firemaw,233 - 159,59%
30,2638,Kfcmanagerxx,Mage,Firemaw,163 - 69,70%
30,2638,Urheilujussi,DeathKnight,Firemaw,190 - 127,60%
30,2638,Kikkihiiri,Priest,Firemaw,166 - 118,58%
33,2637,Mirogano,Priest,Lakeshire,187 - 141,57%
33,2637,Wigbertus,Warrior,Lakeshire,213 - 165,56%
35,2636,Starelement,Shaman,Lakeshire,297 - 219,58%
35,2636,Nieshagodx,Warlock,Lakeshire,262 - 198,57%
35,2636,Targôw,Paladin,Lakeshire,159 - 126,56%
38,2635,Soumi,Paladin,Firemaw,263 - 75,78%
39,2632,Пвеигрок,Paladin,Flamegor,251 - 96,72%
39,2632,Дезлейтовна,Mage,Flamegor,265 - 106,71%
39,2632,Фокситах,Warlock,Flamegor,334 - 142,70%
39,2632,Этосмэрть,Shaman,Flamegor,334 - 142,70%
39,2632,Кериганхохо,Priest,Flamegor,232 - 111,68%
44,2631,Wîngbal,Warlock,Firemaw,143 - 54,73%
45,2624,Bláckbetty,Shaman,Firemaw,156 - 71,69%
46,2619,Tøsvïölåtïöñ,Warlock,Venoxis,95 - 27,78%
47,2599,Keijuñå,Priest,Firemaw,108 - 40,73%
48,2595,Enhaii,Priest,Venoxis,140 - 73,66%
49,2524,Shéar,Shaman,Firemaw,158 - 39,80%
50,2499,Lazurilol,Warlock,Venoxis,252 - 156,62%
51,2498,Angelómerte,Paladin,Venoxis,233 - 162,59%
52,2497,Totemolgâ,Shaman,Venoxis,162 - 93,64%
52,2497,Uwuxd,Priest,Venoxis,135 - 92,59%
54,2493,Synthëx,Priest,Firemaw,171 - 81,68%
55,2491,Hrk,Shaman,Firemaw,180 - 89,67%
55,2491,Raselx,Warrior,Firemaw,253 - 140,64%
57,2483,Shãdowdeathj,DeathKnight,Firemaw,307 - 127,71%
58,2465,Blaueayaya,Shaman,Everlook,145 - 87,62%
59,2463,Nauree,Paladin,Everlook,122 - 65,65%
59,2463,Proxydk,DeathKnight,Everlook,177 - 122,59%
61,2458,Immuz,Druid,Gehennas,221 - 153,59%
62,2457,Uwuxd,Priest,Everlook,94 - 62,60%
63,2455,Sikkone,Shaman,Firemaw,204 - 121,63%
64,2452,Guzzelinare,Shaman,Gehennas,204 - 134,60%
65,2451,Deqi,Mage,Firemaw,247 - 156,61%
65,2451,Balthezy,Warlock,Gehennas,192 - 132,59%
65,2451,Wooders,Shaman,Gehennas,217 - 155,58%
65,2451,Ryscan,Paladin,Gehennas,197 - 148,57%
65,2451,Jouho,Priest,Firemaw,223 - 173,56%
65,2451,Pohweii,Paladin,Firemaw,315 - 254,55%
71,2450,Sagixd,Warlock,Gehennas,114 - 79,59%
71,2450,Sladetwo,Mage,Venoxis,102 - 74,58%
71,2450,Ytlà,Priest,Gehennas,113 - 82,58%
71,2450,Gkurt,Warrior,Everlook,174 - 128,58%
71,2450,Malemodelx,Paladin,Gehennas,118 - 88,57%
76,2447,Gymnastyx,Warrior,Venoxis,228 - 103,69%
76,2447,Sunekyp,Priest,Venoxis,228 - 103,69%
76,2447,Maylined,DeathKnight,Venoxis,217 - 99,69%
76,2447,Proccit,Shaman,Venoxis,252 - 115,69%
76,2447,Boruggtko,Paladin,Venoxis,216 - 99,69%
81,2445,Alisonswift,Mage,Gehennas,306 - 161,66%
81,2445,Goztrak,Shaman,Gehennas,240 - 132,65%
81,2445,Meloxd,Priest,Gehennas,240 - 135,64%
81,2445,Jiyelvl,Paladin,Earthshaker,171 - 114,60%
81,2445,Cøvfefe,Shaman,Everlook,127 - 86,60%
81,2445,Feor,Hunter,Earthshaker,151 - 103,59%
81,2445,Wenx,Warlock,Earthshaker,118 - 83,59%
81,2445,Sweetdog,Priest,Earthshaker,168 - 119,59%
81,2445,Fakedx,Priest,Gehennas,109 - 81,57%
90,2444,Rickgonzales,Mage,Venoxis,176 - 104,63%
90,2444,Sheekqt,Paladin,Gehennas,260 - 181,59%
90,2444,Hackerer,Warrior,Gehennas,137 - 98,58%
90,2444,Nuaripriest,Priest,Everlook,165 - 123,57%
94,2443,Yüür,Shaman,Venoxis,226 - 140,62%
94,2443,Robbybubbles,Paladin,Everlook,162 - 103,61%
94,2443,Letztelauch,Priest,Venoxis,217 - 142,60%
94,2443,Vitaminez,Shaman,Gehennas,139 - 97,59%
94,2443,Untamedx,Priest,Gehennas,210 - 155,58%
94,2443,Dashá,DeathKnight,Everlook,185 - 139,57%
