Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
102,3227,Azmoddan,Paladin,Gehennas,674 - 511,57%
102,3227,Hitokiro,Warrior,Gehennas,988 - 873,53%
104,3223,Starkerpala,Paladin,Gehennas,254 - 182,58%
104,3223,Notthateasy,Warrior,Gehennas,268 - 194,58%
106,3213,Христоффор,Priest,Flamegor,108 - 51,68%
107,3198,Pvelordx,Warrior,Firemaw,373 - 204,65%
107,3198,Twtvstefzgg,Rogue,Golemagg,651 - 500,57%
107,3198,Monktrainer,Druid,Golemagg,328 - 252,57%
110,3196,Laynerzx,Mage,Gehennas,172 - 87,66%
111,3195,Alé,Paladin,Earthshaker,472 - 374,56%
111,3195,Bicitrici,Warrior,Earthshaker,394 - 326,55%
113,3186,Medinia,Druid,Firemaw,281 - 203,58%
113,3186,Frosthork,Priest,Firemaw,270 - 199,58%
115,3175,Jkrx,Priest,Firemaw,358 - 301,54%
115,3175,Theyoungriv,Mage,Firemaw,462 - 402,53%
117,3165,Bláckbetty,Shaman,Firemaw,918 - 727,56%
118,3158,Nèkz,Rogue,Gehennas,187 - 120,61%
119,3154,Wîngbal,Warlock,Firemaw,232 - 69,77%
119,3154,Boogyoo,Priest,Firemaw,474 - 396,54%
119,3154,Exzetronqt,Druid,Firemaw,614 - 523,54%
122,3147,Smuga,Priest,Firemaw,811 - 718,53%
122,3147,Skoony,Hunter,Firemaw,695 - 647,52%
124,3144,Jebee,Shaman,Gehennas,218 - 144,60%
124,3144,Sippiey,Paladin,Gehennas,316 - 216,59%
126,3141,Milyan,Paladin,Firemaw,148 - 103,59%
127,3134,Лишьдлявас,Paladin,Flamegor,1805 - 1255,59%
128,3132,Трактртртртр,DeathKnight,Flamegor,612 - 415,60%
128,3132,Xèts,Paladin,Firemaw,557 - 394,59%
130,3115,Доджпэриблок,Priest,Flamegor,304 - 248,55%
130,3115,Холсед,Druid,Flamegor,289 - 245,54%
132,3109,Øozarucow,Shaman,Sulfuron,325 - 243,57%
132,3109,Mariepolette,Paladin,Sulfuron,325 - 244,57%
134,3108,Andå,Rogue,Firemaw,933 - 767,55%
134,3108,Pservertrash,Priest,Firemaw,751 - 673,53%
136,3098,Mônstret,Shaman,Gehennas,557 - 450,55%
136,3098,Westen,Paladin,Gehennas,471 - 399,54%
138,3096,Waýne,Paladin,Firemaw,155 - 104,60%
139,3095,Exxth,DeathKnight,Earthshaker,544 - 434,56%
139,3095,Neverlost,Paladin,Earthshaker,444 - 379,54%
141,3091,Nohàna,Paladin,Sulfuron,205 - 142,59%
142,3089,Malcommerlyn,Paladin,Gehennas,634 - 497,56%
142,3089,Clîx,Shaman,Gehennas,482 - 379,56%
142,3089,Wackzyz,Priest,Firemaw,968 - 818,54%
145,3085,Lastsamurai,DeathKnight,Sulfuron,362 - 256,59%
