Rank,Rating,Name,Class,Server,Win_Loss,Win_Perc
1,2323,Wãrløck,Warlock,Arugal,148 - 44,77%
2,2313,Bâz,Mage,Arugal,124 - 38,77%
3,2309,Oxyz,Priest,Arugal,114 - 34,77%
3,2309,Nûkkz,Rogue,Arugal,111 - 40,74%
5,2241,Tmoney,Shaman,Arugal,72 - 16,82%
6,2210,Imadkloldie,DeathKnight,Arugal,149 - 55,73%
6,2210,Pingachèw,Shaman,Arugal,129 - 48,73%
8,2208,Durbz,Warrior,Arugal,121 - 45,73%
9,2207,Stonka,Priest,Arugal,116 - 45,72%
10,2186,Goochii,Paladin,Arugal,107 - 54,66%
11,2161,Hiddentech,Shaman,Arugal,140 - 57,71%
12,2156,Doonp,Paladin,Arugal,140 - 51,73%
13,2150,Legendsz,Druid,Arugal,107 - 60,64%
14,2139,Lilchad,Paladin,Arugal,143 - 56,72%
15,2137,Impurity,Priest,Arugal,98 - 31,76%
16,2136,Dev,Warrior,Arugal,90 - 26,78%
17,2129,Mangobay,Shaman,Arugal,117 - 40,75%
17,2129,Aetarius,Priest,Arugal,123 - 47,72%
19,2106,Dejection,DeathKnight,Arugal,108 - 37,74%
20,2086,Oxyp,Paladin,Arugal,64 - 9,88%
21,2085,Klinda,Warrior,Arugal,141 - 51,73%
21,2085,Ðpr,Priest,Arugal,122 - 45,73%
23,2084,Ridles,Warlock,Arugal,127 - 48,73%
24,2061,Igrow,Shaman,Arugal,82 - 26,76%
24,2061,Thraxyw,Warlock,Arugal,73 - 33,69%
26,2060,Fitzyo,Priest,Arugal,93 - 61,60%
27,2048,Gabeman,Paladin,Arugal,130 - 92,59%
28,2040,Somedkhead,DeathKnight,Arugal,106 - 26,80%
28,2040,Cliquê,Warrior,Arugal,130 - 40,76%
30,2038,Tidy,Warrior,Arugal,112 - 73,61%
31,2036,Ultraproblem,Paladin,Arugal,69 - 42,62%
31,2036,Bustyredhead,Warlock,Arugal,85 - 60,59%
33,2028,Medse,Druid,Arugal,92 - 28,77%
34,2027,Rookere,Druid,Arugal,121 - 53,70%
35,2024,Lightstep,Paladin,Arugal,102 - 53,66%
36,2022,Iro,Shaman,Arugal,112 - 49,70%
37,2019,Bumbhead,Warrior,Arugal,76 - 49,61%
38,2001,Incurso,Warlock,Arugal,85 - 38,69%
38,2001,Snagzy,Mage,Arugal,71 - 44,62%
40,1999,Haikoire,Warlock,Arugal,63 - 17,79%
41,1991,Masori,Warlock,Arugal,77 - 57,57%
42,1986,Vroomvroom,Priest,Arugal,97 - 74,57%
43,1978,Dispelbot,Paladin,Arugal,61 - 13,82%
44,1976,Fumxo,Warrior,Arugal,242 - 132,65%
